ANO_LETIVO;CODIGO_CIE;CODIGO_INEP;CodigoDiretoria;NomeDiretoria;NomeEscola;NomeMunicipio;ANOS_INICIAIS;ANOS_FINAIS;ENSINO_MÉDIO
2021;12;35000012;10101;NORTE 1;AYRES DE MOURA PROFESSOR;SAO PAULO;;3,55;
2021;24;35000024;10101;NORTE 1;GAVIAO PEIXOTO BRIGADEIRO;SAO PAULO;3,11;2,79;1,69
2021;36;35000036;10101;NORTE 1;JOAO SOLIMEO;SAO PAULO;;2,79;1,47
2021;772;35000772;10104;NORTE 2;VISCONDE DE INHAUMA ALMIRANTE;SAO PAULO;5,87;;
2021;784;35000784;10102;CENTRO;ANESIA SINCORA PROFESSORA;SAO PAULO;2,97;3,82;
2021;796;35000796;10205;LESTE 5;HEROIS DA FEB;SAO PAULO;;2,49;1,54
2021;802;35000802;10205;LESTE 5;IMPERATRIZ LEOPOLDINA;SAO PAULO;;4,15;2,2
2021;814;35000814;10104;NORTE 2;RAQUEL ASSIS BARREIROS PROFA;SAO PAULO;;3,32;2,24
2021;838;35000838;10205;LESTE 5;JOAO VIEIRA DE ALMEIDA;SAO PAULO;;2,79;1,88
2021;848;35000848;10102;CENTRO;JOAQUIM LEME DO PRADO PROFESSOR;SAO PAULO;;3,07;2,3
2021;851;35000851;10205;LESTE 5;JULIO MAIA;SAO PAULO;5,1;;
2021;863;35000863;10104;NORTE 2;JOSE MARCELINO DA FONSECA MAJOR;SAO PAULO;7,12;;
2021;875;35000875;10104;NORTE 2;CASTRO ALVES;SAO PAULO;;3,51;1,9
2021;899;35000899;10102;CENTRO;PEDRO COSTA DEPUTADO;SAO PAULO;4,31;;
2021;905;35000905;10104;NORTE 2;CARLOS DE LAET PROF;SAO PAULO;;3,61;2,05
2021;917;35000917;10102;CENTRO;ANTONIO LISBOA PROFESSOR;SAO PAULO;;3,74;2,54
2021;929;35000929;10102;CENTRO;ANTONIO VIEIRA PADRE;SAO PAULO;;;2,94
2021;930;35000930;10102;CENTRO;HOMEM DE MELLO BARAO;SAO PAULO;;3,56;2,14
2021;942;35000942;10102;CENTRO;BUENOS AIRES;SAO PAULO;;;3,11
2021;966;35000966;10102;CENTRO;GONCALVES DIAS;SAO PAULO;;3,22;2,04
2021;978;35000978;10102;CENTRO;CASIMIRO DE ABREU;SAO PAULO;;4,1;3,88
2021;985;35000985;10102;CENTRO;REPUBLICA DA BOLIVIA;SAO PAULO;6,04;;
2021;1004;35001004;10104;NORTE 2;EURICO FIGUEIREDO PROF;SAO PAULO;;3,46;2,58
2021;1016;35001016;10104;NORTE 2;ALBERTO CARDOSO DE MELLO NETO DR;SAO PAULO;;2,78;1,84
2021;1028;35001028;10104;NORTE 2;VICTOR DOS SANTOS CUNHA PROF;SAO PAULO;;2,67;1,76
2021;1036;35001036;10104;NORTE 2;SEBASTIAO DE SOUZA BUENO PROF;SAO PAULO;;3,02;2,8
2021;1041;35001041;10104;NORTE 2;JOHANN GUTENBERG;SAO PAULO;;2,62;1,47
2021;1053;35001053;10104;NORTE 2;LUIZ AMARAL WAGNER PROF;SAO PAULO;3,39;;
2021;1065;35001065;10104;NORTE 2;DAVID EUGENIO DOS SANTOS PROF;SAO PAULO;4,76;;
2021;1077;35001077;10104;NORTE 2;JUDITH GUIMARAES DOS SANTOS PROFA;SAO PAULO;4,64;;
2021;1089;35001089;10104;NORTE 2;GABRIELA MISTRAL;SAO PAULO;2,51;2,76;
2021;1090;35001090;10104;NORTE 2;JOSE MARIA REYS PROF;SAO PAULO;4,83;;
2021;1119;35001119;10104;NORTE 2;EURIPEDES DE CASTRO;SAO PAULO;4,7;;
2021;1120;35001120;10102;CENTRO;EXPEDICIONARIO BRASILEIRO;SAO PAULO;5,64;;
2021;1132;35001132;10104;NORTE 2;PEDRO ALEXANDRINO;SAO PAULO;;2,68;2,16
2021;48;35000048;10101;NORTE 1;WALFREDO ARANTES CALDAS PROFESSOR;SAO PAULO;;;1,72
2021;59;35000059;10101;NORTE 1;SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR;SAO PAULO;;;1,69
2021;61;35000061;10101;NORTE 1;SUZANA DE CAMPOS DONA;SAO PAULO;4,12;;
2021;73;35000073;10101;NORTE 1;JULIO DE FARIA E SOUZA PROFESSOR;SAO PAULO;4,2;;
2021;85;35000085;10101;NORTE 1;JULIO CESAR DE OLIVEIRA PROFESSOR;SAO PAULO;5,16;;
2021;97;35000097;10101;NORTE 1;RENATO DE ARRUDA PENTEADO PROFESSOR;SAO PAULO;;;1,16
2021;103;35000103;10101;NORTE 1;JOAO BOEMER JARDIM PROFESSOR;SAO PAULO;3,86;;
2021;115;35000115;10101;NORTE 1;FRANCISCO FARIA NETO PROFESSOR;SAO PAULO;3,48;;
2021;127;35000127;10101;NORTE 1;JOSE ALTENFELDER SILVA PROFESSOR;SAO PAULO;5,85;;
2021;139;35000139;10101;NORTE 1;MARIANO DE OLIVEIRA PROFESSOR;SAO PAULO;;3,26;2,57
2021;140;35000140;10101;NORTE 1;SILVIO XAVIER ANTUNES PROFESSOR;SAO PAULO;;3;2,3
2021;152;35000152;10101;NORTE 1;OCTAVIO MONTEIRO DE CASTRO PROFESSOR;SAO PAULO;5,04;;
2021;164;35000164;10101;NORTE 1;PIO TELLES PEIXOTO PROFESSOR;SAO PAULO;;3,19;2,32
2021;176;35000176;10101;NORTE 1;ZENAIDE VILALVA DE ARAUJO PROFESSORA;SAO PAULO;;3;2,67
2021;188;35000188;10101;NORTE 1;ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR;SAO PAULO;;3,28;2,16
2021;197;35000197;10101;NORTE 1;AGENOR COUTO DE MAGALHAES DOUTOR;SAO PAULO;;2,83;1,78
2021;206;35000206;10101;NORTE 1;ALIPIO DE BARROS PROFESSOR;SAO PAULO;4,79;;
2021;218;35000218;10101;NORTE 1;ANTONIO FRANCISCO REDONDO PROFESSOR;SAO PAULO;;;1,98
2021;224;35000224;10101;NORTE 1;CANDIDO GONCALVES GOMIDE PROFESSOR;SAO PAULO;;2,65;1,67
2021;231;35000231;10101;NORTE 1;CHIQUINHA RODRIGUES;SAO PAULO;4,09;;
2021;243;35000243;10101;NORTE 1;ISABEL VIEIRA DE SERPA E PAIVA PROFESSORA;SAO PAULO;4,5;;
2021;255;35000255;10101;NORTE 1;CLODOMIRO CARNEIRO;SAO PAULO;;2,78;2,22
2021;267;35000267;10101;NORTE 1;ERMANO MARCHETTI;SAO PAULO;;3,29;1,99
2021;279;35000279;10101;NORTE 1;GALDINO LOPES CHAGAS PROFESSOR;SAO PAULO;4,49;;
2021;280;35000280;10101;NORTE 1;HUMBERTO DE SOUZA MELLO GENERAL;SAO PAULO;;3,16;1,93
2021;292;35000292;10101;NORTE 1;DALILA DE ANDRADE COSTA PROFESSORA;SAO PAULO;3,14;;
2021;309;35000309;10102;CENTRO;BENEDITO TOLOSA PROFESSOR;SAO PAULO;3,95;3,12;1,83
2021;310;35000310;10102;CENTRO;ARY BARROSO;SAO PAULO;4,48;;
2021;322;35000322;10102;CENTRO;PEDRO MONTEIRO DO AMARAL CAPITAO;SAO PAULO;;2,97;2,18
2021;334;35000334;10102;CENTRO;MANUEL DA NOBREGA PADRE;SAO PAULO;;3,54;2,48
2021;346;35000346;10101;NORTE 1;MANOEL DA NOBREGA PADRE;SAO PAULO;5,18;;
