COD_ESC;NOMESC;Dir;MUN;NIVEL SOCIOECONOMICO DOS ALUNOS
30806;HELEN KELLER;ADAMANTINA;ADAMANTINA;5,31
31045;DURVALINO GRION PROF;ADAMANTINA;ADAMANTINA;5,36
31082;EUDECIO LUIZ VICENTE PROF ETEC;ADAMANTINA;ADAMANTINA;5,78
31100;HERVAL BELLUSCI ENGENHEIRO ETEC;ADAMANTINA;ADAMANTINA;5,39
31112;FLEURIDES CAVALLINI MENECHINO PROFA;ADAMANTINA;ADAMANTINA;5,54
79911;EURICO LEITE DE MORAIS PROF EMEF;ADAMANTINA;ADAMANTINA;5,4
79923;EMEF PROFA TERUYO KIKUTA;ADAMANTINA;ADAMANTINA;5,21
220796;NAVARRO DE ANDRADE EMEF;ADAMANTINA;ADAMANTINA;5,49
27352;ODILA BOVOLENTA DE MENDONCA PROFESSORA;JOSE BONIFACIO;ADOLFO;4,71
202393;RUTH DOS REIS PROFA ESCOLA MUNICIPAL;JOSE BONIFACIO;ADOLFO;5,07
281050;AMILDE TEDESCHI ESCOLA MUNICIPAL;JOSE BONIFACIO;ADOLFO;5,04
20515;JOSE THEODORO DE MORAES;SAO JOAO DA BOA VISTA;AGUAI;4,89
20527;GERALDO LOURENCO PADRE;SAO JOAO DA BOA VISTA;AGUAI;5,14
20722;EGLE LUPORINI COSTA PROFESSORA;SAO JOAO DA BOA VISTA;AGUAI;5,16
71705;JOAQUIM GIRALDI PROFESSOR ESCOLA MUNICIPAL;SAO JOAO DA BOA VISTA;AGUAI;5,53
218509;JOSE LEGASPE MUINHA EMEF;SAO JOAO DA BOA VISTA;AGUAI;5,32
218522;JOAO SILVA EMEB;SAO JOAO DA BOA VISTA;AGUAI;5,29
242469;ZULMIRA MORAES LEGASPE MAMEDE EMEF;SAO JOAO DA BOA VISTA;AGUAI;4,9
242974;LEONOR CONTI ELIAS PROFESSORA EMEIF;SAO JOAO DA BOA VISTA;AGUAI;5,08
408815;JOSE DE OLIVEIRA JOSE DEMETRIO EM;SAO JOAO DA BOA VISTA;AGUAI;4,85
408852;JOAO DE OLIVEIRA BORGES EMEB;SAO JOAO DA BOA VISTA;AGUAI;5,05
434565;ARNALDO PEREIRA CHEREGATTI ETEC;SAO JOAO DA BOA VISTA;AGUAI;5,35
917928;CONJUNTO HABITACIONAL DONA DOSANJOS MACEDO;SAO JOAO DA BOA VISTA;AGUAI;5,36
20448;TIMOTHEO SILVA PROFESSOR;SAO JOAO DA BOA VISTA;AGUAS DA PRATA;5,28
20459;JOAO URIAS DA SILVA CAPITAO;SAO JOAO DA BOA VISTA;AGUAS DA PRATA;5,11
31562;FELIPPE URTADO SERRATO EMEB;SAO JOAO DA BOA VISTA;AGUAS DA PRATA;5,47
223633;AUREA SOARES PROFESSORA EMEB;SAO JOAO DA BOA VISTA;AGUAS DA PRATA;5,36
17361;FRANCISCO TOZZI DR;MOGI MIRIM;AGUAS DE LINDOIA;5,42
17632;VICENTE RIZZO DR;MOGI MIRIM;AGUAS DE LINDOIA;5,34
192533;GERALDO MANTOVANI DR EMEIEF;MOGI MIRIM;AGUAS DE LINDOIA;5,81
230662;LUIZ BARBOSA EM;MOGI MIRIM;AGUAS DE LINDOIA;5,32
289097;PEDRO FACCHINI COMENDADOR EM;MOGI MIRIM;AGUAS DE LINDOIA;5,57
451034;CREUSA APARECIDA MARIANO PROFA EMEF;MOGI MIRIM;AGUAS DE LINDOIA;5,41
14515;PAULO DELICIO;AVARE;AGUAS DE SANTA BARBARA;5,43
221200;PAULO APARECIDO SILVERIO EMEF;AVARE;AGUAS DE SANTA BARBARA;5,42
21234;ANGELO FRANZIN;PIRACICABA;AGUAS DE SAO PEDRO;5,66
215348;MARIA LUIZA FORNASIER FRANZIN EMEF;PIRACICABA;AGUAS DE SAO PEDRO;5,82
7997;MANOEL GONCALVES PROF;BAURU;AGUDOS;5,27
25987;JOAO BATISTA DE AQUINO PE;BAURU;AGUDOS;5,25
26001;MARIA BATAGLIN DELAZARI;BAURU;AGUDOS;4,82
26037;JOAO BATISTA RIBEIRO;BAURU;AGUDOS;5,46
49670;FARID FAYAD PROF;BAURU;AGUDOS;5,54
82028;LYDIA THIEDE PROFA EMEFEI E CRECHE;BAURU;AGUDOS;5,05
86605;MARIA LECTICIA SORMANI COGO PROFA EMEI CRECHE;BAURU;AGUDOS;5,51
89148;SILVIA MARIA AMATO TRIGO PROFA EMEFEI;BAURU;AGUDOS;5,1
223955;SERGIO AUGUSTO MAININI PROFESSOR EMEFEI;BAURU;AGUDOS;5,42
227158;LEITE CORONEL EMEF;BAURU;AGUDOS;5,43
227161;LUIZ ODASSI NETO PROF EMEF;BAURU;AGUDOS;5,03
246323;FAUSTO DE MARCO PROF EMEF;BAURU;AGUDOS;5,42
634876;SEBASTIAO FUNCHAL EMEFEI CRECHE;BAURU;AGUDOS;4,83
905859;NILZA MARIA SANTAREM PASCHOAL PROFA;BAURU;AGUDOS;5,19
36912;EDUARDO SOARES PROF;ITAPETININGA;ALAMBARI;5,15
57927;LUCIANO JOSE RAMOS EMEIF;ITAPETININGA;ALAMBARI;5,35
243644;JOSE GRACA EMEIEF;ITAPETININGA;ALAMBARI;4,99
243668;NIVALDO LAZARO DO CARMO CUBAS EMEF;ITAPETININGA;ALAMBARI;5,01
31896;FILOMENA SCATENA CHRISTOFANO;PRESIDENTE PRUDENTE;ALFREDO MARCONDES;5,32
28228;OVIDIO DE SOUZA DIAS;BARRETOS;ALTAIR;5,16
239773;MARIA BAPTISTA DE CASTRO PROFESSORA EMEF;BARRETOS;ALTAIR;5,1
22901;ANTONIO BARREIROS PROFESSOR;RIBEIRAO PRETO;ALTINOPOLIS;5,21
210134;ALAYDE DE FIGUEIREDO PALMA CANASSA EMEFEI;RIBEIRAO PRETO;ALTINOPOLIS;5,37
220899;CARMEM MIGUEL VICARI EMEF;RIBEIRAO PRETO;ALTINOPOLIS;5,27
220905;GERALDO TROSSEL PADRE EMEF;RIBEIRAO PRETO;ALTINOPOLIS;5,57
