DEPADM;DepBol;NomeDepBol;codRMet;CODESC;NOMESC;SERIE_ANO;cod_per;periodo;co_comp;ds_comp;medprof
1;1;Rede Estadual;1;000012;AYRES DE MOURA PROFESSOR;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;248,7
1;1;Rede Estadual;1;000012;AYRES DE MOURA PROFESSOR;9º Ano EF;9;GERAL;2;MATEMÁTICA;258,8
1;1;Rede Estadual;1;000012;AYRES DE MOURA PROFESSOR;9º Ano EF;9;GERAL;7;CIÊNCIAS;279
1;1;Rede Estadual;1;000024;GAVIAO PEIXOTO BRIGADEIRO;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;173
1;1;Rede Estadual;1;000024;GAVIAO PEIXOTO BRIGADEIRO;5º Ano EF;9;GERAL;2;MATEMÁTICA;185,5
1;1;Rede Estadual;1;000024;GAVIAO PEIXOTO BRIGADEIRO;5º Ano EF;9;GERAL;7;CIÊNCIAS;197,3
1;1;Rede Estadual;1;000024;GAVIAO PEIXOTO BRIGADEIRO;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;237,8
1;1;Rede Estadual;1;000024;GAVIAO PEIXOTO BRIGADEIRO;9º Ano EF;9;GERAL;2;MATEMÁTICA;233,6
1;1;Rede Estadual;1;000024;GAVIAO PEIXOTO BRIGADEIRO;9º Ano EF;9;GERAL;7;CIÊNCIAS;240,6
1;1;Rede Estadual;1;000024;GAVIAO PEIXOTO BRIGADEIRO;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;257,4
1;1;Rede Estadual;1;000024;GAVIAO PEIXOTO BRIGADEIRO;EM-3ª série;9;GERAL;2;MATEMÁTICA;253,3
1;1;Rede Estadual;1;000024;GAVIAO PEIXOTO BRIGADEIRO;EM-3ª série;9;GERAL;7;CIÊNCIAS;243,8
1;1;Rede Estadual;1;000036;JOAO SOLIMEO;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;236,8
1;1;Rede Estadual;1;000036;JOAO SOLIMEO;9º Ano EF;9;GERAL;2;MATEMÁTICA;238,7
1;1;Rede Estadual;1;000036;JOAO SOLIMEO;9º Ano EF;9;GERAL;7;CIÊNCIAS;251,1
1;1;Rede Estadual;1;000036;JOAO SOLIMEO;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;246,8
1;1;Rede Estadual;1;000036;JOAO SOLIMEO;EM-3ª série;9;GERAL;2;MATEMÁTICA;248,1
1;1;Rede Estadual;1;000036;JOAO SOLIMEO;EM-3ª série;9;GERAL;7;CIÊNCIAS;239,2
1;1;Rede Estadual;1;000048;WALFREDO ARANTES CALDAS PROFESSOR;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;256,4
1;1;Rede Estadual;1;000048;WALFREDO ARANTES CALDAS PROFESSOR;EM-3ª série;9;GERAL;2;MATEMÁTICA;251,1
1;1;Rede Estadual;1;000048;WALFREDO ARANTES CALDAS PROFESSOR;EM-3ª série;9;GERAL;7;CIÊNCIAS;258,7
1;1;Rede Estadual;1;000059;SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;253,7
1;1;Rede Estadual;1;000059;SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR;EM-3ª série;9;GERAL;2;MATEMÁTICA;253,8
1;1;Rede Estadual;1;000059;SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR;EM-3ª série;9;GERAL;7;CIÊNCIAS;266,3
1;1;Rede Estadual;1;000061;SUZANA DE CAMPOS DONA;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;191,1
1;1;Rede Estadual;1;000061;SUZANA DE CAMPOS DONA;5º Ano EF;9;GERAL;2;MATEMÁTICA;207
1;1;Rede Estadual;1;000061;SUZANA DE CAMPOS DONA;5º Ano EF;9;GERAL;7;CIÊNCIAS;215,3
1;1;Rede Estadual;1;000073;JULIO DE FARIA E SOUZA PROFESSOR;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;189,5
1;1;Rede Estadual;1;000073;JULIO DE FARIA E SOUZA PROFESSOR;5º Ano EF;9;GERAL;2;MATEMÁTICA;209,9
1;1;Rede Estadual;1;000073;JULIO DE FARIA E SOUZA PROFESSOR;5º Ano EF;9;GERAL;7;CIÊNCIAS;208,9
1;1;Rede Estadual;1;000085;JULIO CESAR DE OLIVEIRA PROFESSOR;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;212
1;1;Rede Estadual;1;000085;JULIO CESAR DE OLIVEIRA PROFESSOR;5º Ano EF;9;GERAL;2;MATEMÁTICA;227,5
1;1;Rede Estadual;1;000085;JULIO CESAR DE OLIVEIRA PROFESSOR;5º Ano EF;9;GERAL;7;CIÊNCIAS;230,8
1;1;Rede Estadual;1;000097;RENATO DE ARRUDA PENTEADO PROFESSOR;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;242,3
1;1;Rede Estadual;1;000097;RENATO DE ARRUDA PENTEADO PROFESSOR;EM-3ª série;9;GERAL;2;MATEMÁTICA;237,2
1;1;Rede Estadual;1;000097;RENATO DE ARRUDA PENTEADO PROFESSOR;EM-3ª série;9;GERAL;7;CIÊNCIAS;255,1
1;1;Rede Estadual;1;000103;JOAO BOEMER JARDIM PROFESSOR;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;187,9
1;1;Rede Estadual;1;000103;JOAO BOEMER JARDIM PROFESSOR;5º Ano EF;9;GERAL;2;MATEMÁTICA;200,6
1;1;Rede Estadual;1;000103;JOAO BOEMER JARDIM PROFESSOR;5º Ano EF;9;GERAL;7;CIÊNCIAS;209,5
1;1;Rede Estadual;1;000115;FRANCISCO FARIA NETO PROFESSOR;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;184,2
1;1;Rede Estadual;1;000115;FRANCISCO FARIA NETO PROFESSOR;5º Ano EF;9;GERAL;2;MATEMÁTICA;194,2
1;1;Rede Estadual;1;000115;FRANCISCO FARIA NETO PROFESSOR;5º Ano EF;9;GERAL;7;CIÊNCIAS;214
1;1;Rede Estadual;1;000127;JOSE ALTENFELDER SILVA PROFESSOR;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;219,2
1;1;Rede Estadual;1;000127;JOSE ALTENFELDER SILVA PROFESSOR;5º Ano EF;9;GERAL;2;MATEMÁTICA;232,9
1;1;Rede Estadual;1;000127;JOSE ALTENFELDER SILVA PROFESSOR;5º Ano EF;9;GERAL;7;CIÊNCIAS;236
1;1;Rede Estadual;1;000139;MARIANO DE OLIVEIRA PROFESSOR;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;248,2
1;1;Rede Estadual;1;000139;MARIANO DE OLIVEIRA PROFESSOR;9º Ano EF;9;GERAL;2;MATEMÁTICA;251,7
1;1;Rede Estadual;1;000139;MARIANO DE OLIVEIRA PROFESSOR;9º Ano EF;9;GERAL;7;CIÊNCIAS;273,6
1;1;Rede Estadual;1;000139;MARIANO DE OLIVEIRA PROFESSOR;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;280,1
1;1;Rede Estadual;1;000139;MARIANO DE OLIVEIRA PROFESSOR;EM-3ª série;9;GERAL;2;MATEMÁTICA;276,6
1;1;Rede Estadual;1;000139;MARIANO DE OLIVEIRA PROFESSOR;EM-3ª série;9;GERAL;7;CIÊNCIAS;285,7
1;1;Rede Estadual;1;000140;SILVIO XAVIER ANTUNES PROFESSOR;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;239,4
1;1;Rede Estadual;1;000140;SILVIO XAVIER ANTUNES PROFESSOR;9º Ano EF;9;GERAL;2;MATEMÁTICA;249,2
1;1;Rede Estadual;1;000140;SILVIO XAVIER ANTUNES PROFESSOR;9º Ano EF;9;GERAL;7;CIÊNCIAS;265,1
1;1;Rede Estadual;1;000140;SILVIO XAVIER ANTUNES PROFESSOR;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;277,1
1;1;Rede Estadual;1;000140;SILVIO XAVIER ANTUNES PROFESSOR;EM-3ª série;9;GERAL;2;MATEMÁTICA;267,1
1;1;Rede Estadual;1;000140;SILVIO XAVIER ANTUNES PROFESSOR;EM-3ª série;9;GERAL;7;CIÊNCIAS;276,8
1;1;Rede Estadual;1;000152;OCTAVIO MONTEIRO DE CASTRO PROFESSOR;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;204,2
