Cod_IBGE;Localidades;Valor das Exportações (US$ FOB);Valor das Importações (US$ FOB)
3500105;Adamantina;20915821;697487
3500204;Adolfo;0;0
3500303;Aguaí;137409;32478066
3500402;Águas da Prata;0;23864
3500501;Águas de Lindóia;0;583748
3500550;Águas de Santa Bárbara;0;0
3500600;Águas de São Pedro;1384;22498
3500709;Agudos;5378110;33179918
3500758;Alambari;0;152580
3500808;Alfredo Marcondes;4619369;5366576
3500907;Altair;0;0
3501004;Altinópolis;12764192;7441
3501103;Alto Alegre;0;0
3501152;Alumínio;152476416;9133395
3501202;Álvares Florence;0;0
3501301;Álvares Machado;3347719;893970
3501400;Álvaro de Carvalho;0;0
3501509;Alvinlândia;0;0
3501608;Americana;181950735;366617236
3501707;Américo Brasiliense;110559968;3749432
3501806;Américo de Campos;0;59637
3501905;Amparo;134318802;47767862
3502002;Analândia;1245264;0
3502101;Andradina;376246686;1031964
3502200;Angatuba;8939580;6898664
3502309;Anhembi;1804676;57623
3502408;Anhumas;0;0
3502507;Aparecida;526497;2494927
3502606;Aparecida d'Oeste;0;0
3502705;Apiaí;3369620;3347102
3503000;Aramina;0;0
3503109;Arandu;0;0
3503158;Arapeí;0;0
3503208;Araraquara;527211612;63767177
3503307;Araras;99702728;37528538
3502754;Araçariguama;129127454;97486195
3502804;Araçatuba;53068314;38310641
3502903;Araçoiaba da Serra;2544881;7159475
3503356;Arco-Íris;0;0
3503406;Arealva;0;0
3503505;Areias;0;0
3503604;Areiópolis;0;0
3503703;Ariranha;0;0
3503802;Artur Nogueira;14312510;41121570
3503901;Arujá;54697247;185678963
3503950;Aspásia;0;0
3504008;Assis;10039193;9572340
3504107;Atibaia;104306673;525237630
3504206;Auriflama;18246;0
3504305;Avaí;0;0
3504404;Avanhandava;20291731;0
3504503;Avaré;42770752;2466690
3504602;Bady Bassitt;0;185545
3504701;Balbinos;0;0
3504800;Bálsamo;106860;104297
3504909;Bananal;0;10861
3505005;Barão de Antonina;0;0
3505104;Barbosa;0;0
3505203;Bariri;21789937;11136276
3505302;Barra Bonita;105635708;7657365
3505351;Barra do Chapéu;15725959;58180
3505401;Barra do Turvo;0;0
3505500;Barretos;228219191;26138706
3505609;Barrinha;2854809;835192
3505708;Barueri;303637866;1549922152
3505807;Bastos;10525641;2131811
3505906;Batatais;56826413;3617371
3506003;Bauru;221994183;61132530
3506102;Bebedouro;278038306;1744874
3506201;Bento de Abreu;31260136;0
3506300;Bernardino de Campos;1544799;0
3506359;Bertioga;0;889859
3506409;Bilac;8169;0
3506508;Birigui;31894912;15555765
3506607;Biritiba Mirim;0;635728
3506706;Boa Esperança do Sul;0;40397
3506805;Bocaina;36824218;94135
3506904;Bofete;0;56282
3507001;Boituva;82790952;17117050
3507100;Bom Jesus dos Perdões;4401276;11931456
3507159;Bom Sucesso de Itararé;1320;0
3507209;Borá;5246736;0
3507308;Boracéia;2025065;67843
3507407;Borborema;35622500;54050
3507456;Borebi;0;0
3507506;Botucatu;219815767;37615106
3507605;Bragança Paulista;87534879;171557073
3507704;Braúna;0;0
3507753;Brejo Alegre;16845;7050
3507803;Brodowski;777822;2084385
3507902;Brotas;59306396;28815
3508009;Buri;24348212;568727
3508108;Buritama;1511482;4569
3508207;Buritizal;0;0
3508306;Cabrália Paulista;0;0
3508405;Cabreúva;110079131;216684138
3508603;Cachoeira Paulista;43060;1641572
3508702;Caconde;4240;44328
3508801;Cafelândia;1144;0
3508900;Caiabu;196610;0
3509007;Caieiras;449398340;74205355
3509106;Caiuá;0;0
3509205;Cajamar;110793301;772587263
3509254;Cajati;23944360;157677540
3509304;Cajobi;0;0
3509403;Cajuru;7267400;2193004
3509452;Campina do Monte Alegre;9575;0
3509502;Campinas;1103433971;2947903699
3509601;Campo Limpo Paulista;200664893;164989619
3509700;Campos do Jordão;7401;58108
3509809;Campos Novos Paulista;8448309;0
3509908;Cananéia;0;2024
3509957;Canas;0;0
3510005;Cândido Mota;66474493;4884629
3510104;Cândido Rodrigues;83219;0
3510153;Canitar;0;35538004
3510203;Capão Bonito;438271;240647
3510302;Capela do Alto;0;389080
3510401;Capivari;33395532;32856522
3510500;Caraguatatuba;5118;16413
3510609;Carapicuíba;27106991;33251554
3510708;Cardoso;0;1487
3510807;Casa Branca;3123232;2475177
3510906;Cássia dos Coqueiros;0;0
3511003;Castilho;1355775;0
3511102;Catanduva;180094103;11089665
3511201;Catiguá;0;0
3508504;Caçapava;95874360;99659828
3511300;Cedral;9200;803045
3511409;Cerqueira César;332842;149234
3511508;Cerquilho;62476209;45873138
3511607;Cesário Lange;10023419;7099741
3511706;Charqueada;459845;1359630
3557204;Chavantes;16081;0
3511904;Clementina;2664372;0
3512001;Colina;290320978;2021926
3512100;Colômbia;40090573;0
3512209;Conchal;95591655;3762171
3512308;Conchas;37585;1558040
3512407;Cordeirópolis;200279435;12104451
3512506;Coroados;6001;0
3512605;Coronel Macedo;0;0
3512704;Corumbataí;294008;25453
3512803;Cosmópolis;172281072;89031300
3512902;Cosmorama;1110793;8400328
3513009;Cotia;202600932;903118295
3513108;Cravinhos;24799076;43309853
3513207;Cristais Paulista;71503;156993
3513306;Cruzália;0;0
3513405;Cruzeiro;95670155;126957631
3513504;Cubatão;643987043;467018779
3513603;Cunha;94737;0
3513702;Descalvado;22886457;18368777
3513801;Diadema;202231065;473494951
3513850;Dirce Reis;0;0
3513900;Divinolândia;137100;123390
3514007;Dobrada;0;195553
3514106;Dois Córregos;11380532;5045250
3514205;Dolcinópolis;0;77868
3514304;Dourado;0;11574519
3514403;Dracena;229755;379890
3514502;Duartina;37402822;48567
3514601;Dumont;11416504;237663
3514700;Echaporã;1166386;0
