cod_Ibge;localidade;setor;ano;valor
3500105;Adamantina;Serviços;2020;R$ 945.063.109
3500204;Adolfo;Serviços;2020;R$ 64.106.365
3500303;Aguaí;Serviços;2020;R$ 545.287.410
3500402;Águas da Prata;Serviços;2020;R$ 128.294.299
3500501;Águas de Lindóia;Serviços;2020;R$ 427.337.387
3500550;Águas de Santa Bárbara;Serviços;2020;R$ 115.606.323
3500600;Águas de São Pedro;Serviços;2020;R$ 118.450.836
3500709;Agudos;Serviços;2020;R$ 962.487.307
3500758;Alambari;Serviços;2020;R$ 68.282.628
3500808;Alfredo Marcondes;Serviços;2020;R$ 57.753.953
3500907;Altair;Serviços;2020;R$ 53.371.686
3501004;Altinópolis;Serviços;2020;R$ 341.114.977
3501103;Alto Alegre;Serviços;2020;R$ 62.442.977
3501152;Alumínio;Serviços;2020;R$ 672.230.260
3501202;Álvares Florence;Serviços;2020;R$ 55.504.399
3501301;Álvares Machado;Serviços;2020;R$ 405.721.607
3501400;Álvaro de Carvalho;Serviços;2020;R$ 39.594.668
3501509;Alvinlândia;Serviços;2020;R$ 37.717.710
3501608;Americana;Serviços;2020;R$ 7.480.675.120
3501707;Américo Brasiliense;Serviços;2020;R$ 639.179.889
3501806;Américo de Campos;Serviços;2020;R$ 74.090.659
3501905;Amparo;Serviços;2020;R$ 2.099.015.995
3502002;Analândia;Serviços;2020;R$ 96.536.227
3502101;Andradina;Serviços;2020;R$ 1.503.504.045
3502200;Angatuba;Serviços;2020;R$ 591.444.973
3502309;Anhembi;Serviços;2020;R$ 80.668.218
3502408;Anhumas;Serviços;2020;R$ 48.300.749
3502507;Aparecida;Serviços;2020;R$ 896.175.526
3502606;Aparecida d'Oeste;Serviços;2020;R$ 75.525.251
3502705;Apiaí;Serviços;2020;R$ 342.022.179
3502754;Araçariguama;Serviços;2020;R$ 1.702.245.873
3502804;Araçatuba;Serviços;2020;R$ 6.113.092.131
3502903;Araçoiaba da Serra;Serviços;2020;R$ 605.916.934
3503000;Aramina;Serviços;2020;R$ 104.135.588
3503109;Arandu;Serviços;2020;R$ 82.461.153
3503158;Arapeí;Serviços;2020;R$ 34.308.680
3503208;Araraquara;Serviços;2020;R$ 7.583.823.481
3503307;Araras;Serviços;2020;R$ 4.076.943.655
3503356;Arco-Íris;Serviços;2020;R$ 31.488.558
3503406;Arealva;Serviços;2020;R$ 129.203.517
3503505;Areias;Serviços;2020;R$ 45.838.717
3503604;Areiópolis;Serviços;2020;R$ 110.987.547
3503703;Ariranha;Serviços;2020;R$ 577.056.628
3503802;Artur Nogueira;Serviços;2020;R$ 880.014.830
3503901;Arujá;Serviços;2020;R$ 5.270.670.009
3503950;Aspásia;Serviços;2020;R$ 26.492.798
3504008;Assis;Serviços;2020;R$ 2.712.927.533
3504107;Atibaia;Serviços;2020;R$ 4.347.758.031
3504206;Auriflama;Serviços;2020;R$ 246.508.845
3504305;Avaí;Serviços;2020;R$ 112.716.437
3504404;Avanhandava;Serviços;2020;R$ 203.822.011
3504503;Avaré;Serviços;2020;R$ 2.023.128.650
3504602;Bady Bassitt;Serviços;2020;R$ 335.688.940
3504701;Balbinos;Serviços;2020;R$ 40.608.997
3504800;Bálsamo;Serviços;2020;R$ 157.269.236
3504909;Bananal;Serviços;2020;R$ 148.102.430
3505005;Barão de Antonina;Serviços;2020;R$ 41.135.075
3505104;Barbosa;Serviços;2020;R$ 84.688.643
3505203;Bariri;Serviços;2020;R$ 805.043.625
3505302;Barra Bonita;Serviços;2020;R$ 844.876.447
3505351;Barra do Chapéu;Serviços;2020;R$ 51.691.170
3505401;Barra do Turvo;Serviços;2020;R$ 91.701.566
3505500;Barretos;Serviços;2020;R$ 3.368.849.736
3505609;Barrinha;Serviços;2020;R$ 408.624.213
3505708;Barueri;Serviços;2020;R$ 34.579.376.452
3505807;Bastos;Serviços;2020;R$ 408.936.725
3505906;Batatais;Serviços;2020;R$ 1.324.146.825
3506003;Bauru;Serviços;2020;R$ 11.205.328.884
3506102;Bebedouro;Serviços;2020;R$ 2.365.170.036
3506201;Bento de Abreu;Serviços;2020;R$ 78.935.430
3506300;Bernardino de Campos;Serviços;2020;R$ 180.907.554
3506359;Bertioga;Serviços;2020;R$ 1.648.230.762
3506409;Bilac;Serviços;2020;R$ 138.730.120
3506508;Birigui;Serviços;2020;R$ 2.654.699.745
3506607;Biritiba Mirim;Serviços;2020;R$ 414.725.978
3506706;Boa Esperança do Sul;Serviços;2020;R$ 212.046.966
3506805;Bocaina;Serviços;2020;R$ 163.553.376
3506904;Bofete;Serviços;2020;R$ 136.507.215
3507001;Boituva;Serviços;2020;R$ 1.608.716.672
3507100;Bom Jesus dos Perdões;Serviços;2020;R$ 535.657.618
3507159;Bom Sucesso de Itararé;Serviços;2020;R$ 42.442.849
3507209;Borá;Serviços;2020;R$ 30.284.389
