"cod_ibge";"municipio";"ano";"leitos_sus";"leitos_nao_sus"
3500105;"Adamantina";2010;271;37
3500105;"Adamantina";2011;271;37
3500105;"Adamantina";2012;263;37
3500105;"Adamantina";2013;240;44
3500105;"Adamantina";2014;240;39
3500105;"Adamantina";2015;240;39
3500105;"Adamantina";2016;240;39
3500105;"Adamantina";2017;219;39
3500105;"Adamantina";2018;219;39
3500105;"Adamantina";2019;206;29
3500204;"Adolfo";2010;0;0
3500204;"Adolfo";2011;0;0
3500204;"Adolfo";2012;0;0
3500204;"Adolfo";2013;0;0
3500204;"Adolfo";2014;0;0
3500204;"Adolfo";2015;0;0
3500204;"Adolfo";2016;0;0
3500204;"Adolfo";2017;0;0
3500204;"Adolfo";2018;0;0
3500204;"Adolfo";2019;0;0
3500303;"Aguaí";2010;49;27
3500303;"Aguaí";2011;49;27
3500303;"Aguaí";2012;49;27
3500303;"Aguaí";2013;0;0
3500303;"Aguaí";2014;0;0
3500303;"Aguaí";2015;0;0
3500303;"Aguaí";2016;0;10
3500303;"Aguaí";2017;0;10
3500303;"Aguaí";2018;0;10
3500303;"Aguaí";2019;0;0
3500402;"Águas da Prata";2010;0;0
3500402;"Águas da Prata";2011;0;0
3500402;"Águas da Prata";2012;0;0
3500402;"Águas da Prata";2013;0;0
3500402;"Águas da Prata";2014;0;0
3500402;"Águas da Prata";2015;0;0
3500402;"Águas da Prata";2016;0;0
3500402;"Águas da Prata";2017;0;0
3500402;"Águas da Prata";2018;0;0
3500402;"Águas da Prata";2019;0;0
3500501;"Águas de Lindóia";2010;30;12
3500501;"Águas de Lindóia";2011;30;12
3500501;"Águas de Lindóia";2012;30;12
3500501;"Águas de Lindóia";2013;30;12
3500501;"Águas de Lindóia";2014;30;12
3500501;"Águas de Lindóia";2015;30;12
3500501;"Águas de Lindóia";2016;30;12
3500501;"Águas de Lindóia";2017;30;12
3500501;"Águas de Lindóia";2018;30;12
3500501;"Águas de Lindóia";2019;30;12
3500550;"Águas de Santa Bárbara";2010;0;0
3500550;"Águas de Santa Bárbara";2011;0;0
3500550;"Águas de Santa Bárbara";2012;0;0
3500550;"Águas de Santa Bárbara";2013;0;0
3500550;"Águas de Santa Bárbara";2014;0;0
3500550;"Águas de Santa Bárbara";2015;0;0
3500550;"Águas de Santa Bárbara";2016;0;0
3500550;"Águas de Santa Bárbara";2017;0;0
3500550;"Águas de Santa Bárbara";2018;0;0
3500550;"Águas de Santa Bárbara";2019;0;0
3500600;"Águas de São Pedro";2010;0;0
3500600;"Águas de São Pedro";2011;4;0
3500600;"Águas de São Pedro";2012;4;0
3500600;"Águas de São Pedro";2013;4;0
3500600;"Águas de São Pedro";2014;4;0
3500600;"Águas de São Pedro";2015;4;0
3500600;"Águas de São Pedro";2016;4;0
3500600;"Águas de São Pedro";2017;0;0
3500600;"Águas de São Pedro";2018;0;0
3500600;"Águas de São Pedro";2019;0;0
3500709;"Agudos";2010;43;22
3500709;"Agudos";2011;43;22
3500709;"Agudos";2012;43;22
3500709;"Agudos";2013;43;22
3500709;"Agudos";2014;38;22
3500709;"Agudos";2015;38;22
3500709;"Agudos";2016;38;22
3500709;"Agudos";2017;38;22
3500709;"Agudos";2018;38;22
3500709;"Agudos";2019;38;22
3500758;"Alambari";2010;0;0
3500758;"Alambari";2011;0;0
3500758;"Alambari";2012;0;0
3500758;"Alambari";2013;0;0
3500758;"Alambari";2014;0;0
3500758;"Alambari";2015;0;0
3500758;"Alambari";2016;0;0
3500758;"Alambari";2017;0;0
3500758;"Alambari";2018;0;0
3500758;"Alambari";2019;0;0
3500808;"Alfredo Marcondes";2010;0;0
3500808;"Alfredo Marcondes";2011;0;0
3500808;"Alfredo Marcondes";2012;0;0
3500808;"Alfredo Marcondes";2013;0;0
3500808;"Alfredo Marcondes";2014;0;0
3500808;"Alfredo Marcondes";2015;0;0
3500808;"Alfredo Marcondes";2016;0;0
3500808;"Alfredo Marcondes";2017;0;0
3500808;"Alfredo Marcondes";2018;0;0
3500808;"Alfredo Marcondes";2019;0;0
3500907;"Altair";2010;0;0
3500907;"Altair";2011;0;0
3500907;"Altair";2012;0;0
3500907;"Altair";2013;0;0
3500907;"Altair";2014;0;0
3500907;"Altair";2015;0;0
3500907;"Altair";2016;0;0
3500907;"Altair";2017;0;0
3500907;"Altair";2018;0;0
3500907;"Altair";2019;0;0
3501004;"Altinópolis";2010;21;9
3501004;"Altinópolis";2011;21;9
3501004;"Altinópolis";2012;21;9
3501004;"Altinópolis";2013;25;6
3501004;"Altinópolis";2014;25;6
3501004;"Altinópolis";2015;25;6
3501004;"Altinópolis";2016;25;6
3501004;"Altinópolis";2017;25;6
3501004;"Altinópolis";2018;25;6
3501004;"Altinópolis";2019;25;6
3501103;"Alto Alegre";2010;19;3
3501103;"Alto Alegre";2011;19;3
3501103;"Alto Alegre";2012;19;3
3501103;"Alto Alegre";2013;19;3
3501103;"Alto Alegre";2014;19;3
3501103;"Alto Alegre";2015;19;3
3501103;"Alto Alegre";2016;19;3
3501103;"Alto Alegre";2017;19;3
3501103;"Alto Alegre";2018;19;3
3501103;"Alto Alegre";2019;19;3
3501152;"Alumínio";2010;0;0
3501152;"Alumínio";2011;0;0
3501152;"Alumínio";2012;0;0
3501152;"Alumínio";2013;0;0
3501152;"Alumínio";2014;0;0
3501152;"Alumínio";2015;0;0
3501152;"Alumínio";2016;0;0
3501152;"Alumínio";2017;0;0
3501152;"Alumínio";2018;0;0
3501152;"Alumínio";2019;0;0
3501202;"Álvares Florence";2010;0;0
3501202;"Álvares Florence";2011;0;0
3501202;"Álvares Florence";2012;0;0
3501202;"Álvares Florence";2013;0;0
3501202;"Álvares Florence";2014;0;0
3501202;"Álvares Florence";2015;0;0
3501202;"Álvares Florence";2016;0;0
3501202;"Álvares Florence";2017;0;0
3501202;"Álvares Florence";2018;0;0
3501202;"Álvares Florence";2019;0;0
3501301;"Álvares Machado";2010;18;2
3501301;"Álvares Machado";2011;18;2
3501301;"Álvares Machado";2012;18;2
3501301;"Álvares Machado";2013;18;2
3501301;"Álvares Machado";2014;18;2
3501301;"Álvares Machado";2015;18;2
3501301;"Álvares Machado";2016;18;2
3501301;"Álvares Machado";2017;18;2
3501301;"Álvares Machado";2018;18;2
3501301;"Álvares Machado";2019;18;2
3501400;"Álvaro de Carvalho";2010;0;0
3501400;"Álvaro de Carvalho";2011;0;0
3501400;"Álvaro de Carvalho";2012;0;0
3501400;"Álvaro de Carvalho";2013;0;0
3501400;"Álvaro de Carvalho";2014;0;0
3501400;"Álvaro de Carvalho";2015;0;0
3501400;"Álvaro de Carvalho";2016;0;0
3501400;"Álvaro de Carvalho";2017;0;0
3501400;"Álvaro de Carvalho";2018;0;0
3501400;"Álvaro de Carvalho";2019;0;0
3501509;"Alvinlândia";2010;0;0
3501509;"Alvinlândia";2011;0;0
3501509;"Alvinlândia";2012;0;0
3501509;"Alvinlândia";2013;0;0
3501509;"Alvinlândia";2014;0;0
3501509;"Alvinlândia";2015;0;0
